Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Puerarin,Puerarin,HMDB0240265,5281807,8633,C10524,NA,OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1=C2OC=C(C(=O)C2=CC=C1O)C1=CC=C(O)C=C1,1
Alfentanil,Alfentanil,HMDB0014940,51263,2569,C08005,NA,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,1
Cyanidin-3-O-alpha-arabinopyranoside,NA,NA,NA,NA,NA,NA,NA,0
Kaempferol-3-O-alpha-L-arabinoside,NA,NA,NA,NA,NA,NA,NA,0
Aloin,Aloin,HMDB0035219,313325,NA,NA,NA,OCC1OC(C(O)C(O)C1O)C1C2=C(C(O)=CC=C2)C(=O)C2=C1C=C(CO)C=C2O,1
Simvastatin,Simvastatin,HMDB0005007,54454,9150,NA,2443,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,1
Fipronil-sulfide,NA,NA,NA,NA,NA,NA,NA,0
Eprosartan,Eprosartan,HMDB0015014,5281037,4814,C07467,NA,CCCCC1=NC=C(\C=C(/CC2=CC=CS2)C(O)=O)N1CC1=CC=C(C=C1)C(O)=O,1
Clindamycin,Clindamycin,HMDB0015321,29029,3745,C06914,NA,CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,1
alpha-Tocotrienol,alpha-Tocotrienol,HMDB0006327,5282347,33270,C14153,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1,1
Hispidulin acetate,NA,NA,NA,NA,NA,NA,NA,0
Leupeptin,Leupeptin,HMDB0254042,3910,NA,NA,NA,CC(C)CC(NC(C)=O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(N)=N)C=O,1
Irbesartan,Irbesartan,HMDB0015163,3749,5959,C07469,NA,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,1
Mebeverine,Mebeverine,HMDB0254388,4031,NA,NA,NA,CCN(CCCCOC(=O)C1=CC(OC)=C(OC)C=C1)C(C)CC1=CC=C(OC)C=C1,1
8'-Apoalloxanthin,NA,NA,NA,NA,NA,NA,NA,0
Bicalutamide,Bicalutamide,HMDB0015260,2375,144093,C08160,NA,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,1
Ononin,Ononin,HMDB0033987,3733033,7775,C10509,NA,COC1=CC=C(C=C1)C1=COC2=C(C=CC(OC3OC(CO)C(O)C(O)C3O)=C2)C1=O,1
beta-Tocotrienol,beta-tocotrienol,HMDB0304597,5282348,33275,C14154,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCC2=C(C)C(O)=CC(C)=C2O1,1
8'-Apozeaxanthinal,NA,NA,NA,NA,NA,NA,NA,0
Fipronil,Fipronil,HMDB0252265,3352,83394,C11099,NA,NC1=C(C(=NN1C1=C(Cl)C=C(C=C1Cl)C(F)(F)F)C#N)S(=O)C(F)(F)F,1
Phlorizin,Phlorizin,HMDB0036634,6072,8113,C01604,NA,OC[C@H]1O[C@@H](OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
Daidzin,Daidzin,HMDB0033991,107971,42202,C10216,NA,OC[C@H]1O[C@@H](OC2=CC3=C(C=C2)C(=O)C(=CO3)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
1-Lauroyl-2-hydroxy-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA,0
Candesartan,Candesartan,HMDB0014934,2541,3347,C07468,NA,CCOC1=NC2=CC=CC(C(O)=O)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,1
Propaquizafop,NA,NA,NA,NA,NA,NA,NA,0
Thiothixene,Thiothixene,HMDB0015560,941651,309829,NA,NA,CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3\C2=C\CCN2CCN(C)CC2)C=C1,1
Perfluorooctyl phosphate,NA,NA,NA,NA,NA,NA,NA,0
Tetracycline,Tetracycline,HMDB0014897,5761,27902,C06570,NA,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,1
Tritosulfuron,NA,NA,NA,NA,NA,NA,NA,0
Baicalin,Baicalin,HMDB0041832,13654833,2981,C10025,NA,O[C@@H]1[C@@H](O)[C@@H](OC2=C(O)C(O)=C3C(=O)C=C(OC3=C2)C2=CC=CC=C2)O[C@@H]([C@H]1O)C(O)=O,1
Luteolin-7-O-glucoside,Luteolin-7-O-glucoside,NA,45933934,NA,NA,NA,NA,1
Sissotrin,Sissotrin,HMDB0033990,5358913,NA,NA,NA,COC1=CC=C(C=C1)C1=COC2=CC(OC3OC(CO)C(O)C(O)C3O)=CC(O)=C2C1=O,1
8'-Apocapsorbinal,NA,NA,NA,NA,NA,NA,NA,0
Ideain,NA,NA,NA,NA,NA,NA,NA,0
Quercitrin,Quercitrin,HMDB0033751,5280459,17558,C01750,NA,C[C@@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,1
Myricetin-3-Xyloside,NA,NA,NA,NA,NA,NA,NA,0
Eriodictyol-7-O-glucoside,Miscanthoside,HMDB0029544,13254471,NA,NA,NA,OCC1OC(OC2=CC3=C(C(=O)CC(O3)C3=CC=C(O)C(O)=C3)C(O)=C2)C(O)C(O)C1O,1
Foramsulfuron,NA,NA,NA,NA,NA,NA,NA,0
Diphenoxylate,Diphenoxylate,HMDB0015213,13505,4639,C07872,NA,CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1,1
Boldenone_Undecylenate,NA,NA,NA,NA,NA,NA,NA,0
Scutellarein tetraacetate,NA,NA,NA,NA,NA,NA,NA,0
Methotrexate,Methotrexate,HMDB0014703,126941,44185,C01937,NA,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,1
Verapamil,Verapamil,HMDB0001850,2520,77733,C07188,3009,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,1
Vitamin K1,Vitamin K1,HMDB0003555,5284607,18067,C05850,7027,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CC1=C(C)C(=O)C2=C(C=CC=C2)C1=O,1
Prednisolone_Tebutate,NA,NA,NA,NA,NA,NA,NA,0
Oxytetracycline,Oxytetracycline,HMDB0014733,54715139,27701,C06624,NA,[H][C@@]12[C@@H](O)[C@@]3([H])C(=C(O)C4=C(O)C=CC=C4[C@@]3(C)O)C(=O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C,1
3-(Methylsulfinyl)propylglucosinolate,NA,NA,NA,NA,NA,NA,NA,0
Morphine_3_Glucuronide,NA,NA,NA,NA,NA,NA,NA,0
"Methyl hydroxy-3,4-dehydro-apo-8'-lycopenate",NA,NA,NA,NA,NA,NA,NA,0
Peonidin-3-O-beta-D-glucoside,NA,NA,NA,NA,NA,NA,NA,0
Delphinidin-3-O-beta-glucopyranoside,NA,NA,NA,NA,NA,NA,NA,0
GalNAcGlcNAcGA,NA,NA,NA,NA,NA,NA,NA,0
Buprenorphine,Buprenorphine,HMDB0015057,644073,3216,C08007,NA,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,1
Cromolyn,Cromoglicic acid,HMDB0015138,2882,59773,C06928,NA,OC(COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O)COC1=CC=CC2=C1C(=O)C=C(O2)C(O)=O,1
Kaempferol-3-O-glucoside,Astragalin,HMDB0037429,5282102,30200,C12249,NA,OC[C@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
Terfenadine,Terfenadine,HMDB0014486,5405,119569,C07463,NA,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,1
Cirsimarin,NA,NA,NA,NA,NA,NA,NA,0
(2R)-2-Hydroxy-2-phenethylglucosinolate,NA,NA,NA,NA,NA,NA,NA,0
Petunidin-3-O-beta-glucopyranoside,NA,NA,NA,NA,NA,NA,NA,0
Isorhamnetin-3-O-glucoside,NA,NA,NA,NA,NA,NA,NA,0
Gossypin,Gossypin,NA,5281621,NA,NA,NA,NA,1
Albiflorin,NA,NA,NA,NA,NA,NA,NA,0
Emetine,Emetine,METPA0972,NA,4781,C09421,NA,NA,1
Rosuvastatin,Rosuvastatin,HMDB0015230,446157,38545,NA,NA,CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,1
Hyperoside,Quercetin 3-galactoside,HMDB0030775,5281643,67486,C10073,NA,OC[C@H]1O[C@@H](OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O,1
Cytidine 5'-diphosphocholine,Citicoline,HMDB0001413,13805,49086,C00307,6229,C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,1
Paeoniflorin,NA,NA,NA,NA,NA,NA,NA,0
Quercetin 3-(6-O-acetyl-beta-glucoside),NA,NA,NA,NA,NA,NA,NA,0
Syringetin-3-O-galactoside,NA,NA,NA,NA,NA,NA,NA,0
FucGlcNAcThrNAc,NA,NA,NA,NA,NA,NA,NA,0
Gallamine,Gallamine Triethiodide,HMDB0014626,3450,774944,NA,NA,CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC,1
Trans-Zeatin-riboside-O-glucoside,NA,NA,NA,NA,NA,NA,NA,0
Telmisartan,Telmisartan,HMDB0015101,65999,9434,C07710,NA,CCCC1=NC2=C(C=C(C=C2C)C2=NC3=CC=CC=C3N2C)N1CC1=CC=C(C=C1)C1=CC=CC=C1C(O)=O,1
Taurocholate,Taurocholic acid,HMDB0000036,6675,28865,C05122,5104,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(=O)NCCS(O)(=O)=O,1
Piperacillin,Piperacillin,HMDB0014464,43672,8232,C14034,NA,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,1
Daunorubicin,Daunorubicin,HMDB0014832,30323,41977,C01907,NA,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,1
Rolitetracycline,Rolitetracycline,HMDB0015414,NA,63334,NA,NA,[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCN1CCCC1)=C(O)[C@H]2N(C)C,1
Isorenieratene,Isorenieratene,NA,47205259,80196,C15943,NA,NA,1
Ketoconazole,Ketoconazole,HMDB0012242,47576,47518,NA,NA,CC(=O)N1CCN(CC1)C1=CC=C(OC[C@@H]2CO[C@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,1
Cochlioquinone A,NA,NA,NA,NA,NA,NA,NA,0
Neriifolin,neriifolin,NA,441867,7522,C08876,NA,CO1(O)(C)O(O2CC3(C)4CC5(C)(C6=CC(=O)OC6)CC5(O)4CC3C2)1O,1
Amentoflavone,Amentoflavone,HMDB0030832,5281600,2631,C10018,NA,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(=C2O1)C1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,1
Apramycin,Apramycin,HMDB0248529,439519,NA,C01555,NA,CNC1C(O)C2OC(OC3C(N)CC(N)C(O)C3O)C(N)CC2OC1OC1OC(CO)C(N)C(O)C1O,1
zeta-Carotene,"(9-cis,9'-cis)-7,7',8,8'-Tetrahydro-psi,psi-carotene",HMDB0003063,6440490,48716,C15857,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(/C)CC\C=C(/C)CCC=C(C)C,1
Phytofluene,Phytofluene,HMDB0002871,6857557,35165,C05414,213,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\C=C/C=C(\C)/C=C/C=C(\C)CC\C=C(/C)CCC=C(C)C,1
Doxorubicin,Doxorubicin,HMDB0015132,31703,28748,C01661,NA,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,1
Phytoene,Phytoene,HMDB0002181,5280784,8191,C05413,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\C=C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C,1
Perfluorodecyl phosphate,NA,NA,NA,NA,NA,NA,NA,0
3-Man2GlcNAc,NA,NA,NA,NA,NA,NA,NA,0
Cymarin,Cymarin,NA,441853,NA,NA,NA,NA,1
Quercetin-3-(6''-malonyl)-Glucoside,NA,NA,NA,NA,NA,NA,NA,0
"beta-Carotene-5,6-epoxide",NA,NA,NA,NA,NA,NA,NA,0
beta-Cryptoxanthin,beta-Cryptoxanthin,HMDB0033844,5281235,10362,C08591,NA,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,1
Rhodopin,1-hydroxylycopene,HMDB0304015,5365880,35331,C19795,NA,CC(C)=CCC\C(C)=C\C=C\C(\C)=C\C=C\C(\C)=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C\C=C(/C)CCCC(C)(C)O,1
Leucine_Enkephalin,NA,NA,NA,NA,NA,NA,NA,0
"7',8',9',10'-Tetrahydro-beta-cryptoxanthin",NA,NA,NA,NA,NA,NA,NA,0
Fukugetin,NA,NA,NA,NA,NA,NA,NA,0
Dronedarone,Dronedarone,HMDB0251621,208898,50659,NA,NA,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,1
Vecuronium,Vecuronium,HMDB0015432,39765,9939,C07553,NA,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,1
Atorvastatin,Atorvastatin,HMDB0005006,60823,39548,C06834,1136,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,1
Rhodoxanthin,Rhodoxanthin,NA,5281251,8835,C08610,NA,CC1=CC(=O)CC(C)(C)/C1=C\C=C(C)\C=C\C=C(C)\C=C\C=C\C(C)=C\C=C\C(C)=C\C=C1\C(C)=CC(=O)CC1(C)C,1
Diatoxanthin,NA,NA,NA,NA,NA,NA,NA,0
Anhydrorhodovibrin,Anhydrorhodovibrin,NA,5368308,80148,C15877,NA,COC(C)(C)C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCC=C(C)C,1
GalNAcGlcNAcThrNAc,NA,NA,NA,NA,NA,NA,NA,0
3'-Deoxycapsanthin,NA,NA,NA,NA,NA,NA,NA,0
Pyrrhoxanthinol,Pyrrhoxanthinol,HMDB0035696,131751849,NA,NA,NA,C\C(=C/C=C\C=C\C=C(/C)C#CC1=C(C)CC(O)CC1(C)C)\C=C1/OC(=O)C(\C=C\C23OC2(C)CC(O)CC3(C)C)=C1,1
"Lycopene-5,6-diol",NA,NA,NA,NA,NA,NA,NA,0
"3,4-Dihydrospheroidene","3,4-Dihydrospheroidene",NA,47205215,NA,C15895,NA,NA,1
"7,8-Dihydroparasiloxanthin","7,8-Dihydroparasiloxanthin",HMDB0036916,87442432,NA,NA,NA,C\C(CCC1=C(C)CC(O)CC1(C)C)=C/C=C/C(/C)=C/C=C/C=C(\C)/C=C/C=C(\C)CCC1=C(C)CC(O)CC1(C)C,1
Veratrosine,NA,NA,NA,NA,NA,NA,NA,0
4-Ketoalloxanthin,4-Ketoalloxanthin,NA,16061219,NA,NA,NA,CC1=C(C#C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C#CC2=C(C)C(=O)(O)CC2(C)C)C(C)(C)C(O)C1,1
Procyanidin B2,Procyanidin B2,HMDB0033973,122738,75632,C17639,NA,[H][C@]1([C@@H](O)[C@H](OC2=CC(O)=CC(O)=C12)C1=CC(O)=C(O)C=C1)C1=C(O)C=C(O)C2=C1O[C@@H]([C@H](O)C2)C1=CC(O)=C(O)C=C1,1
Rhoifolin,Rhoifolin,HMDB0038848,5459217,NA,C12627,NA,CC1OC(OC2C(O)C(O)C(CO)OC2OC2=CC(O)=C3C(=O)C=C(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O,1
Adonirubin,NA,NA,NA,NA,NA,NA,NA,0
Cyanidin-3-O-(2''-O-beta-xylopyranosyl-beta-glucopyranoside),NA,NA,NA,NA,NA,NA,NA,0
Naringin,Naringin,HMDB0002927,442428,28819,C09789,3604,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2OC2=CC(O)=C3C(=O)C[C@H](OC3=C2)C2=CC=C(O)C=C2)[C@H](O)[C@H](O)[C@H]1O,1
Streptomycin,Streptomycin,HMDB0015214,19649,17076,C00413,NA,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,1
Capsanthone,Capsanthone,HMDB0303575,NA,NA,NA,NA,C/C(/C=C/C=C(/C)\C=C\C(=O)C1(C)CC(=O)CC1(C)C)=C\C=C\C=C(/C)\C=C\C=C(\C)/C=C/C1=C(C)CC(O)CC1(C)C,1
Spheroidenone,Spheroidenone,NA,5366412,62480,C15903,NA,COC(C)(C)C(=O)/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)CC/C=C(\C)CCC=C(C)C,1
Dihydroergotamine,Dihydroergotamine,HMDB0014465,10531,4562,C07798,NA,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O,1
Antheraxanthin,Antheraxanthin,METPA0963,NA,27867,C08579,NA,NA,1
Ouabain,Ouabain,HMDB0015224,439501,472805,C01443,NA,[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,1
Ipomoeaxanthin C,NA,NA,NA,NA,NA,NA,NA,0
ManGlcNAc2,NA,NA,NA,NA,NA,NA,NA,0
Peridininol furanoxide,NA,NA,NA,NA,NA,NA,NA,0
JSTX-3,NA,NA,NA,NA,NA,NA,NA,0
Etoposide,Etoposide,HMDB0014911,36462,4911,C01576,NA,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,1
Adenosine 5'-diphospho-glucose,NA,NA,NA,NA,NA,NA,NA,0
Ergoloid_Mesylate,NA,NA,NA,NA,NA,NA,NA,0
"7,8,7',8'-Tetradehydroastaxanthin","7,8,7',8'-Tetradehydroastaxanthin",NA,12299845,NA,NA,NA,CC1=C(C#C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C#CC2=C(C)C(=O)(O)CC2(C)C)C(C)(C)C(O)C1=O,1
Fortunellin,NA,NA,NA,NA,NA,NA,NA,0
"7,8-Didehydroastaxanthin","7,8-Dehydroastaxanthianthin",HMDB0036872,131752072,172765,NA,NA,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)C(O)CC1(C)C)=C\C=C\C=C(/C)\C=C\C=C(\C)C#CC1=C(C)C(=O)C(O)CC1(C)C,1
Tiliroside,Tiliroside,NA,44258863,NA,NA,NA,O=C(/C=C/c1ccc(O)cc1)OC1O(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)1O,1
Pelargonin,Pelargonin,HMDB0033681,441772,133365,C08725,NA,OC[C@H]1O[C@@H](OC2=CC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
Kaempferol-7-neohesperidoside,NA,NA,NA,NA,NA,NA,NA,0
Poncirin,Poncirin,HMDB0037487,4463283,NA,C09830,NA,COC1=CC=C(C=C1)C1CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O1,1
Astaxanthin,Astaxanthin,HMDB0002204,5281224,40968,C08580,3671,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)[C@@H](O)CC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)[C@@H](O)CC1(C)C,1
Spirilloxanthin,Spirilloxanthin,HMDB0258426,169577,35328,C15881,NA,COC(C)(C)CC=CC(C)=CC=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C=CCC(C)(C)OC,1
Peltatoside,NA,NA,NA,NA,NA,NA,NA,0
"Capsanthone-3,6-epoxide",NA,NA,NA,NA,NA,NA,NA,0
"3,4-Dihydrospirilloxanthin","3,4-Dihydrospirilloxanthin",NA,16061284,NA,NA,NA,COC(C)(C)C/C=C/C(C)=C/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)OC,1
Hematoporphyrin_I,NA,NA,NA,NA,NA,NA,NA,0
Auroxanthin,Auroxanthin,HMDB0036876,131752074,NA,NA,NA,C\C(\C=C\C=C(\C)C1OC2(C)CC(O)CC(C)(C)C2=C1)=C/C=C\C=C(/C)\C=C/C=C(/C)C1OC2(C)CC(O)CC(C)(C)C2=C1,1
Tetrahydrospirilloxanthin,NA,NA,NA,NA,NA,NA,NA,0
"5,6-Dihydroxylutein",NA,NA,NA,NA,NA,NA,NA,0
Guanosine 5'-diphosphate-D-mannose,NA,NA,NA,NA,NA,NA,NA,0
Uridine 5'-diphospho-N-acetylgalactosamine,Uridine diphosphate-N-acetylgalactosamine,HMDB0000304,1167,NA,C00203,5293,CC(O)=NC1C(OP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2O)N2C=CC(O)=NC2=O)OC(CO)C(O)C1O,1
Neodiosmin,Diosmetin 7-neohesperidoside,HMDB0039856,14310763,NA,NA,NA,COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O1,1
Reserpine,Reserpine,HMDB0014351,5770,28487,C06539,NA,[H][C@]12C[C@@H](OC(=O)C3=CC(OC)=C(OC)C(OC)=C3)[C@H](OC)[C@@H](C(=O)OC)[C@@]1([H])C[C@@]1([H])N(CCC3=C1NC1=C3C=CC(OC)=C1)C2,1
Ergocristine,Ergocristine,HMDB0251908,98255,NA,NA,NA,CC(C)C1(NC(=O)C2CN(C)C3CC4=CNC5=CC=CC(=C45)C3=C2)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O,1
Delphinidin-3-rutinoside,NA,NA,NA,NA,NA,NA,NA,0
Rutin,Rutin,HMDB0003249,5280805,28527,C05625,3677,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,1
Hesperidin,Hesperidin,HMDB0003265,53477767,28775,C09755,3678,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(OC1O[C@H](CO[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]1O)C=C2O,1
"Pyrroxanthin 5,8-furanoxide",NA,NA,NA,NA,NA,NA,NA,0
L-Glutathione (oxidized form),NA,NA,NA,NA,NA,NA,NA,0
Neohesperidin dihydrochalcone,Neohesperidin dihydrochalcone,HMDB0030542,4453,NA,NA,NA,COC1=C(O)C=C(CCC(=O)C2=C(O)C=C(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)C=C2O)C=C1,1
Amarouciaxanthin A,Amarouciaxanthin A,NA,16061220,NA,NA,NA,CC1=CC(=O)CC(C)(C)1(O)CC(=O)/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(\C)C=C=C1C(C)(C)C(O)C1(C)O,1
19-O-Methylsiphonaxanthin,NA,NA,NA,NA,NA,NA,NA,0
Kaempferol-3-O-rutinoside,Kaempferol-3-O-rutinoside,NA,,,C21833,NA,NA,1
"Methyl glucosyl-3,4-dehydro-apo-8'-lycopenate",NA,NA,NA,NA,NA,NA,NA,0
"Peonidin-3,5-O-di-beta-glucopyranoside",NA,NA,NA,NA,NA,NA,NA,0
Isorhamnetin-3-O-rutinoside,Isorhamnetin-3-O-rutinoside,NA,45933931,NA,NA,NA,NA,1
Hesperidin methyl chalcone,NA,NA,NA,NA,NA,NA,NA,0
"Quercetin-3,4'-O-di-beta-glucopyranoside",NA,NA,NA,NA,NA,NA,NA,0
3-Didehydro-5-dehydroxyhydratoperidinin,NA,NA,NA,NA,NA,NA,NA,0
Peridinin,Peridinin,HMDB0256341,496108,NA,NA,NA,CC(=O)OC1CC(C)(C)C(=C=CC(C)=CC=CC=CC=C(C)C=C2OC(=O)C(C=CC34OC3(C)CC(O)CC4(C)C)=C2)C(C)(O)C1,1
